顧客名,年齢,合計金額
ツモテ キミホ,30,36900
ソムホ トモンシ,53,36900
セエシオ ユヌチ,65,36900
コチキミ テヘニ,51,36900
コキ ユワ,80,36900
キヒユホ シヲカ,34,36900
キオウ コカキコ,58,36900
エワイス オトユ,40,36900
ヒケエヌ ヨワユト,76,36872
タム ヨホイキ,74,36849
カエ シチメヘ,53,36838
ミウヲ ヌハ,93,36836
スノオ シエ,82,36836
ホコ ムモエ,82,36818
ヲカア メワホ,46,36800
メツウ ハムキン,56,36800
ホメハウ アソコ,40,36800
ホネケ ワヲニエ,37,36800
チアト トユキマ,94,36800
ソフ ムケユ,38,36800
サキネ セヒン,35,36800
イテセホ モメ,69,36800
アク ワフ,22,36793
ニク モクキユ,72,36785
ニニ カオ,25,36776
ヤイヨ ユユナ,65,36756
ノキエ アクチヒ,42,36754
メム オアマ,52,36738
ナケ トサ,92,36736
ヨチサ ミウ,48,36732
ヤナフス ムユンナ,48,36700
ミムナ ソフサ,74,36700
フウツク マキ,70,36700
セカワ コツタト,69,36700
スキヒ メモソチ,40,36700
キソワタ ホカム,27,36700
ウトニオ ヨコ,84,36700
イヌイソ ヨナヨ,62,36700
ムク ケエミ,85,36686
ヘサマ ウヤ,77,36681
マホ ツテツネ,24,36677
トヒセカ イソスミ,38,36661
オチ クキツソ,47,36655
ヲチ ミナヌホ,15,36638
アチイ スユ,40,36628
ンク サケミヘ,86,36600
ヲチヌイ ヒエソ,87,36600
ユハ トフスヌ,29,36600
ミミ ツホ,81,36600
マホト シオセ,55,36600
ソネヒ チソヲ,47,36600
セソタサ サヲヘセ,22,36600
ケヒ エシワ,82,36600
カミ モイマ,37,36600
エエユ ノテニネ,49,36600
ヤアコメ ムムミユ,83,36590
ミヒワ ヌフオ,95,36587
オヤコ マヌサケ,91,36567
コネミサ ナエ,48,36557
シイテ ハス,79,36555
トヒ チントカ,55,36553
ヒアモフ ヲセウス,31,36518
カスニ ナヲミ,42,36515
ナアヤモ マソユ,78,36511
ヤマソ ミセ,33,36500
モム ヘソニ,51,36500
フマネ ホオノ,21,36500
ニヘウニ アス,42,36500
チホ マテヘモ,65,36500
タム チハ,82,36500
ソワ マサト,98,36500
ソモ ユウ,30,36500
スツ オテマチ,80,36500
サス カヌヲシ,16,36500
エヲオヌ カヤネン,94,36500
エモ エニ,46,36500
エキアシ ネサ,46,36500
シシ ツヌケ,35,36495
ヲセ ニメ,56,36487
チセニ エキウ,21,36436
ハヤソ ナウヤ,58,36422
オテオヲ エホエ,56,36407
ハサケト ウサイ,53,36406
コサ アクマ,96,36403
ワンヘカ モイソム,19,36400
メコ シウウ,47,36400
ムエチノ ヘナ,48,36400
ミヘノ イセヘ,93,36400
ヒヤトユ ンン,74,36400
ハサエ オイカ,47,36400
ネホ ツオ,69,36400
ナスヒ ムシコカ,53,36400
テホツ ニテ,20,36400
テサモ カヘハシ,53,36400
サシヘ メサ,16,36400
エミナン コタ,87,36400
エセケ ヌトヲ,50,36400
アヒハ ヘヘ,53,36400
ヌネヨア モナカヨ,16,36380
ネソンユ セハソミ,96,36358
ソムツト ヨエツウ,70,36302
ヲカワ コウナ,19,36300
ユウム ネタ,44,36300
ムウアウ ヌケコノ,99,36300
フイア トユキヘ,71,36300
ネヲニキ ネヌ,38,36300
ニカ スサツノ,86,36300
チムエ ヒユ,46,36300
ソウホ ホヲナ,43,36300
エセヲ スセ,72,36300
アヨチマ ヒム,56,36300
アカニ ツフキ,17,36300
ケクマヌ チシムウ,56,36296
ヌケソ チウ,76,36268
ヨカ メツオ,43,36264
モウマイ ツソネ,75,36261
シツナ ナヤヌ,22,36225
タツ コメオ,34,36221
ワマセキ コニ,94,36200
モノ ヤンノ,99,36200
ホサケカ カネテキ,21,36200
ハマ ネエスセ,37,36200
ヌナニイ ウケミカ,70,36200
タオアタ ハホフニ,21,36200
ホテタ キユ,35,36193
セムホ ツネ,76,36185
ホシイ コンツ,43,36182
エサ オエ,51,36162
イムミヤ フメオ,49,36159
メカフ ホヌ,49,36100
ムヒ ムモ,76,36100
ヒニコヘ ホアテコ,53,36100
テチケ サナクイ,54,36100
タワク クホセユ,57,36100
サツネシ ヌホナヤ,95,36100
コト ノモヘ,91,36100
カヤヌ オセ,55,36100
カモ モヌ,60,36100
エノ セムウフ,54,36100
イマナマ ワフ,57,36100
アマナ スヤハキ,48,36100
アテヘ ホノ,22,36100
ニムソ エコ,38,36085
マケサ ホナユオ,33,36074
コケヘコ ココ,38,36058
クメセ タヤ,66,36030
シアメ ハト,56,36028
ソヲメミ ヤカ,69,36027
ンケムン コノン,32,36021
ヤユチ アヌ,93,36000
ヒコマ ミン,23,36000
テイト ニキスタ,78,36000
セヲネカ トマシイ,67,36000
スア ノカキ,18,36000
メユヨ ンソテ,86,35986
セオハ ネンコ,30,35968
ホカン メフ,19,35966
ムホクツ ワン,99,35956
スキ ヌネサマ,55,35950
ヌメ ヒクカム,42,35943
テウケイ コワフ,47,35914
ヨネオン サユツチ,93,35900
ユエン ムシハン,64,35900
ヤトミ タテクテ,32,35900
モミタク ノヌ,46,35900
ミムミヲ カハケ,36,35900
ヒオ テヲケス,50,35900
テムソヒ トスケキ,66,35900
ツヲナ ハアムチ,83,35900
ツヒ ユナカヤ,30,35900
ツアオヨ アケヨ,67,35900
コミナク トミ,49,35900
イヒム ヌホヨ,80,35900
イサウテ ツヨ,62,35858
サヤ ムケヤ,99,35856
メアヘア ヘチ,57,35831
ホヘハハ ヤワコン,62,35804
マヲキン マヲカケ,68,35800
ハス エホ,62,35800
ノハ ウテ,17,35800
ヌサマチ ナエハ,41,35800
ヌサツヲ ソクサア,74,35800
ナイ シコオク,99,35800
テモン ケセヤユ,50,35800
ツニト ヤケスメ,97,35800
クスヘヲ ツヒソト,19,35800
カセシノ ヨムケ,26,35800
カスセ ウツ,22,35800
ノシニフ アク,69,35760
オシ ヘカス,20,35743
ヤトウタ サフマ,74,35738
カスネユ スコカ,47,35707
ンウホ メマト,65,35700
ワセ ストニム,84,35700
メユニネ ニモクエ,43,35700
マテチキ セネチ,20,35700
ハアウト ハスキコ,90,35700
ネヨエユ ハシツツ,97,35700
ナムチ ホムンア,51,35700
チセクワ ミタオツ,88,35700
ケマ ツマヘ,44,35700
ンコ マシ,21,35648
アニ ンミスオ,18,35621
ツナ メチナ,41,35619
フモ ホタイ,79,35614
ヌネネ イヨ,89,35610
コト ウアヘヨ,49,35606
ヲイ ニモヒハ,86,35600
ワヒ エトケウ,32,35600
ワセウ ンフンム,55,35600
ヒウセア コサ,20,35600
ネヲ キエセ,54,35600
ニユ ンミ,18,35600
スナ アイカ,51,35600
カホムサ フタナ,48,35600
イモ ソシ,75,35600
エキワノ ネヲキヘ,52,35593
コヨ ニム,50,35588
アヨ オケソモ,57,35556
キムフヒ ワトタ,18,35551
イツム テノサ,83,35551
フウヨ イネノウ,69,35531
チマ ネムウ,67,35529
ユタヤセ マイコ,64,35500
モセ ノヘヘマ,28,35500
フチ マヲコテ,26,35500
ハヒセ マホツ,34,35500
ノフナヲ ヨフユケ,16,35500
ネイカス クヤユ,31,35500
チヲ モクサ,49,35500
ソネ キンホ,42,35500
セソホ ヤイムム,90,35500
キモノ ユオ,92,35500
クトワキ アネテナ,20,35489
ヨニキ ワス,64,35477
ヲモモテ ワツタヤ,68,35464
チケウ チスモミ,15,35445
ナウノ スヘ,57,35443
ニモカナ チカヌコ,77,35436
アシ ホユム,57,35429
ヲヌテマ ヲカマン,74,35400
ワヲヤオ イクヒ,30,35400
ハマメケ ヒメ,75,35400
ネヘオ ノアキ,49,35400
タシオノ コト,89,35400
サクミ ケウ,51,35400
オイセヘ ミクテミ,75,35400
ヒサニ チワミテ,80,35395
エオ ンミ,49,35375
マエ ウメケ,56,35370
タホワケ チニ,23,35342
ケチ トセ,76,35330
ンアンソ ヤテメ,52,35300
ヤマミマ ホモマ,21,35300
モワ イセイコ,50,35300
モチスイ ンヘケ,21,35300
ムユイ アタ,87,35300
ネマ シセ,15,35300
タソヘ ヘホマ,57,35300
セヨ ヨク,54,35300
クメニ メノフ,67,35300
カエ モネソ,32,35300
ウノハ キエケヌ,73,35300
イキ ワタ,46,35300
エイツク ネソヌネ,38,35298
ヌニ ツカサセ,19,35289
スコ ツム,33,35263
テハワ ワコク,75,35249
ヲキツイ ヲタニ,87,35200
ワケシヨ カサヒヘ,32,35200
ヨスツ タホ,62,35200
トク クトヌ,81,35200
スヲセ ニソ,24,35200
キタセ ウシ,62,35200
カエ マヒチ,80,35200
エチエム ネモム,88,35200
アカトヘ マメウカ,90,35200
キテウ タニ,82,35188
ワトマソ ケヨフ,49,35183
ケイクナ ムミホ,75,35172
トハ ケコネ,20,35160
メチ ノソ,47,35100
ムノエメ ホヌ,73,35100
クユト ホカ,84,35100
キエツ エハスエ,40,35100
アフ フヨエミ,81,35100
スハク モムニセ,30,35056
ヒエヘ アワスヲ,18,35054
ヒニハ ヲトア,27,35010
メチホヤ ナミテ,88,35000
ムスツ クモテモ,18,35000
ミタシ フタハナ,33,35000
ハナフ ヲクユノ,34,35000
ハツ ハト,71,35000
ハウノ ヲサ,74,35000
サヨチナ オヒニヲ,50,35000
コヘタ ワノ,81,35000
カア ヲチマメ,63,35000
ウヘウフ トツワミ,56,35000
アヒヘハ ワヲキネ,33,35000
アニ ヘヌ,67,35000
エハヒヲ ホンセ,26,34978
シネ セコソ,45,34957
ヤニタノ サミ,34,34900
ミヌウハ シコナ,15,34900
ホモム タシヨハ,81,34900
ヌストメ ホナミ,61,34900
ナノム モフ,60,34900
トクニ エシエ,48,34900
チアカ ヤネソ,37,34900
ウヘマモ カキ,51,34900
ハケ テマ,55,34842
エマ エミツヲ,96,34831
ンエホス タカチセ,77,34829
メク キフサマ,46,34815
ネテソ ヌメネム,49,34813
アヘホ ヌヤネ,78,34810
ンエマメ ノケミ,79,34800
ミサ オウヌ,96,34800
ヘフオ ミコミ,37,34800
ヌタ トマハ,93,34800
チワイン ホツ,74,34800
コイ ホモハオ,45,34800
カナホエ ヲニヤ,58,34800
イハアテ ツク,25,34800
ワモ ムノス,20,34793
ツノタ ホモテミ,56,34771
ニホオ メオンエ,70,34756
サムヲ ムキン,21,34737
イササイ キメコ,72,34727
ワテツ ヨウモハ,70,34700
ヤンム トヒヤ,92,34700
モナネユ ハテノイ,28,34700
ホカミ テケフ,18,34700
ネマヤイ チクワ,43,34700
ナト テフヲ,91,34700
タヤツ タヒ,95,34700
セマハフ チヒ,94,34700
コテ スチヌク,94,34700
タユコテ ハエコヲ,91,34681
ウセオカ ユヤネ,60,34656
ハソワネ キハワ,23,34623
コオユオ タタ,17,34602
ネクマノ ヲソネ,75,34600
ツヌモヌ キオク,76,34600
タヘス ソケハヒ,56,34600
タナヘコ クソオニ,66,34600
スオス マセモ,90,34600
カヌ オユ,59,34600
カス エヨオヤ,46,34600
エヌノ ヒヨシ,77,34600
ウト エコネミ,31,34600
インコ ヨメア,69,34600
ニコ オサホ,70,34577
ヒヌネ ヲヤテ,88,34565
ケホエ トワコニ,82,34536
ヨテ ヒチカネ,69,34534
ヨハヨカ ノコ,71,34503
ヤユ ヨノツ,30,34500
ヤスヤニ クサツセ,23,34500
ヤケヘ タイソモ,40,34500
ホツ サタオ,15,34500
ノク ノン,78,34500
ナノ キワ,83,34500
トメ シエテ,84,34500
テモ ヲホ,50,34500
シサケソ オテヤコ,45,34500
サノケ テチケフ,65,34500
ウイ フトコヘ,22,34500
ウマケ カノエ,59,34431
ニエチセ チノム,36,34419
ヨオ ワケタ,96,34416
メヤオ ウヤムイ,81,34406
ヲナナ シサコユ,75,34400
ヨハソ ンユヘ,72,34400
ヤエ オク,19,34400
メソ クサ,18,34400
ハメ ヌシ,52,34400
ヌキミ ヨマオ,71,34400
キイキヤ ヲト,94,34400
ウワ ヨキス,52,34400
ンナ ケウンテ,55,34381
ノシ イヌ,96,34346
ハナ ミミワヲ,19,34344
チウメ スハメメ,76,34342
モヘ ヤオ,55,34300
ツタユユ ソヲヘセ,97,34300
クン チヨ,87,34300
カスホヤ シネ,98,34300
ツワヨ ノヲヲタ,81,34294
コヌユサ ナサ,95,34288
スケナヘ ナト,36,34282
キサネネ アヒウ,38,34274
ネメヌカ オヤ,24,34241
マシホ ミヤヨヘ,78,34234
ウメミヨ ナヌフ,42,34234
ワヤニ ククコス,25,34200
ヘシト ニミナ,50,34200
ハエメ ンオフン,36,34200
ネホマ ナウ,90,34200
ヌスヘシ テン,73,34200
ヌキニコ コサス,55,34200
ナニシヤ クイ,78,34200
チト ヌケヤタ,27,34200
セヤメウ イワソ,27,34200
セヌネ モヨンフ,17,34200
シコヘヌ テニホ,48,34200
キモマ イニ,50,34200
キキムニ ヒイス,64,34200
ハスクエ ナキ,84,34182
ニミカン ケス,85,34151
メサ ワモマヨ,66,34142
ユス セコセミ,91,34132
ホニ オソイ,63,34130
スケサタ ハナ,23,34129
クヒ ワカモヘ,34,34122
スケモ コネサマ,84,34118
ヨウ ヌトハ,19,34100
ムヌム モマユオ,76,34100
マセセ クヒセメ,97,34100
ホヘ クツニ,27,34100
ニヲヌ ナア,17,34100
ナモケハ ヘムスヒ,94,34100
ケミ ニオモ,67,34100
カヤ マヒヘニ,29,34100
オヤエ ノエ,57,34100
コカワユ サネトウ,51,34074
ネサイ テアテチ,39,34071
ウスヤ ウヒヤ,57,34060
ソヤ ニテソケ,44,34056
ホク アフノン,60,34036
ハヒス セワ,66,34018
ユエ ヨヨ,33,34013
ヌヌ モイ,66,34007
ヌテノ テナ,50,34006
ワキム ヘクシ,31,34000
モモウヌ ホタホ,60,34000
メナ テヌン,99,34000
マトト ヘテタ,74,34000
ホヌ ネオ,31,34000
ハハヲオ カテキコ,87,34000
ナキニニ カオ,53,34000
セツニ ホヨヘ,62,34000
サコケニ ウヲ,21,33993
テモキ ヤホチ,70,33981
クミメ セメ,58,33955
オマヲア ソハ,35,33924
ナカフ ヨヲ,56,33919
メミ ヤネケウ,49,33907
ネク シホキ,18,33904
ヤンンモ カケヨ,36,33900
モヌ ノウ,34,33900
ヒチナ ケネヘソ,94,33900
ネユヤ メイネ,87,33900
クツ ヒイオウ,17,33900
キサマ テヘネイ,80,33900
オシテエ シコアソ,41,33900
サヨスメ メケ,78,33885
ハヘ ハミ,33,33877
クコオヘ ヒニンマ,23,33874
チクハ ヨヒヨオ,35,33868
ウヲマテ サウネキ,94,33859
チエヲク ハカオ,71,33856
シヨ コヲワモ,57,33833
サニタヘ ツウホ,54,33816
キケセフ カサナ,83,33816
モホヒエ ハオスハ,53,33800
メユタウ テテ,52,33800
マア ヤネ,78,33800
ナヒ ノメコニ,15,33800
ナニテ シサ,33,33800
サヲシ クハタヘ,85,33800
カキホタ ヨサテミ,99,33800
アサ ハヘセ,49,33800
ンミツ ソア,52,33795
ニヌセ ヘコ,58,33773
タト カマケ,83,33759
ソンヒ ヘオヤ,36,33736
タヲウ メクホ,45,33718
ソキモ チムシ,98,33716
モニ キセ,32,33702
ヲネエ ツミ,68,33700
ユヨワン ケヘカ,27,33700
ネサナコ ハノ,99,33700
ナオ モヘ,65,33700
ナエムミ ナエ,88,33700
チキヘ ユエテヤ,44,33700
ソコ ヘユモイ,99,33700
セフ アホ,26,33700
セツツイ チタツツ,91,33700
スクツヘ アミメ,95,33700
クコタノ クヘ,33,33700
ウヤミサ キサワキ,18,33700
ワモハサ ツテ,38,33698
モヘ キヒネ,90,33698
セア ントナニ,23,33671
ツムコ ニネ,17,33670
モエハ シメ,29,33658
ホヘコ メン,84,33636
マウミヨ ワユコ,63,33600
ヒウソ ユヘヨイ,65,33600
トモノト コオツコ,72,33600
スオテフ テチス,95,33600
サウタユ シネ,52,33600
コフヨム シケヒチ,78,33600
ケイ ネキソモ,93,33600
カホフ オキチ,60,33600
エコ メオ,30,33600
ユソヌエ セユ,55,33589
メマヒ ニエ,27,33571
ワツホヨ フヨメソ,87,33559
キシヲ シソンユ,90,33559
フノ キタメ,36,33533
ツタ マミヒソ,63,33528
ヌニム ユテ,20,33517
ヨサ ヲトミヘ,33,33500
ヒイセヨ ソノシ,96,33500
テヒン シフメ,71,33500
ソチニ ヒクヤ,43,33500
クサソ セムホ,24,33500
カノク ワモイ,77,33500
オユメセ モセモ,73,33500
オツ ヨサ,26,33500
オキチヤ サナナ,60,33500
オオチ サヌ,74,33500
エユホタ コワ,49,33500
ウク ナサ,32,33500
アメフ ユモホ,46,33500
ヲメヲ ノテ,86,33495
ウタネ ンミユヘ,63,33485
スイホ ムヌ,62,33448
トモ トヌツシ,29,33436
サコ コニ,87,33414
ヒヲフ シイ,36,33406
ンコ タミ,38,33405
ヨユソ ワキヨ,96,33400
ヘセヘ ノヌ,46,33400
ツソ テハ,91,33400
スキクア トヨノ,30,33400
コホ サネヨイ,70,33400
コシハア キヒ,57,33400
キチ タエソ,95,33400
ノソ モマヲヌ,96,33384
ニヒヘ ソセオ,72,33340
キホ ワア,79,33303
ンヌヘ ウノ,80,33300
モヨ ムヌホ,91,33300
ミチン スサヌマ,89,33300
マツ エワノ,36,33300
テナシ ネナモ,26,33300
ソム トオ,53,33300
コセモ トツ,67,33300
ヒヤテヌ ノツヤ,35,33276
テカ ホマムユ,75,33276
ナウヨ ヌチ,34,33271
ネムスキ ホクチン,89,33262
チイノ シイ,86,33253
トナヨ コムヤヒ,20,33215
トムナ スナ,48,33206
ンノン ンメ,84,33200
ミンオ チフメヨ,71,33200
ミセトノ ヤサム,66,33200
ネハ モユ,74,33200
ニソアタ ヤススヤ,15,33200
ナノ コワウ,84,33200
ソネイ アタセケ,59,33200
シヤフ タノコケ,55,33200
キミモ ニオ,59,33200
オキコヲ クマクテ,21,33200
エホキ ヲケチソ,99,33200
アハウア モユキ,32,33200
キホ ネコハヒ,89,33198
ムチナヨ ンセケ,53,33195
ナニ ネタ,91,33175
マヤア フタ,95,33171
エトユケ ホチ,25,33165
ムユエノ ユホノ,94,33163
ヨサ キノカソ,65,33153
ミヨキオ クエヤ,68,33131
サヤウヌ ワキヨ,96,33122
ヨカ マスス,98,33106
ユン ハイ,64,33100
ヤハ トンミト,31,33100
モケメミ ミヘスニ,49,33100
メチ ヲケヘヨ,34,33100
ムシ キト,93,33100
ニニオ ハキソ,16,33100
テセ ソサヤ,95,33100
チニカ エウニカ,97,33100
チサ ホマネ,83,33100
ソハケチ ウヲサ,73,33100
ソチヨ アヒ,75,33100
アサ ケヒ,96,33100
ヤチ モメケ,18,33055
ユノン ウア,77,33020
ヒエマ ワネニヌ,72,33013
ミウワ クツフタ,41,33007
フンス トユ,18,33001
ワフ ヤヌ,25,33000
ヨンネ テヲ,54,33000
ミフムム テヲカ,43,33000
ヘヒ ヲモセテ,63,33000
ヘオ メチ,94,33000
ヒハホ マツトシ,69,33000
ヒイヨセ ホヨ,19,33000
チセト ウエイ,17,33000
キフ ヘケソ,36,33000
カタツ キカヌ,17,33000
オヲ モヲネヨ,73,33000
アン サトア,81,33000
サテヨキ ウニ,83,32995
ケカイ メエ,66,32989
クカエ セセハノ,76,32953
ニヤユサ ヒミミヨ,94,32909
コヘトカ ムヘシワ,69,32907
スノテ イカ,73,32903
メカネ ツニユ,60,32900
ミヌホ エメ,42,32900
マヒンヌ ヒソスム,46,32900
ヒクク オン,89,32900
ヌク テマコト,59,32900
ナワクス ヒツ,27,32900
ツユム ヘケウ,60,32900
セヨス ユケム,69,32900
オヤオヲ ムヘネテ,41,32900
ワセス キオイネ,51,32879
トメナ カフトセ,51,32874
ネセキ ヨニン,86,32872
シニセト ケケ,83,32872
クノタ オワフ,79,32871
ヨオワ ハム,79,32856
ソタコ ヘモヌホ,94,32825
マヘソ ユヨチ,67,32800
ノシトセ エヨンタ,72,32800
ナホ ニソト,95,32800
テククワ トネト,63,32800
ツマ セワム,88,32800
クソコ ハテコ,86,32800
ヲモネ ミユ,16,32793
モンヨカ セヲ,60,32784
フンネ エイス,83,32772
クユ ヲツネニ,66,32762
ツハ イフ,27,32757
ケヤ エヤソニ,48,32741
キホヌハ ンオシ,79,32702
ヲソツ ワソキテ,38,32700
フアセ ナセ,87,32700
ヌヲ ニタタフ,36,32700
ツワニ トカ,61,32700
チワク アヘ,25,32700
タソカ ヌヌ,94,32700
セウヒ キフネノ,74,32700
シチメ ユツオシ,70,32700
シエモ ササソヲ,52,32700
コケ ハヲニ,21,32700
イイ シフキ,86,32700
トノモ メオチオ,20,32694
クセナニ モツ,87,32691
ヘヨト ミウ,30,32677
タサメ ニチ,28,32671
ヒア テミエナ,51,32670
ウアト カワミワ,78,32666
コト ワオ,26,32654
ソクメオ ニヲム,78,32653
ノハナク マテキサ,31,32648
ツミヨヒ カナモエ,44,32644
ツオ キメユ,46,32624
メニメ サカキ,99,32609
カイテ イネヘ,41,32608
ヨメトセ ムホキ,43,32600
ヤノセナ ノイ,92,32600
メイケマ スマ,28,32600
ヘン ミモ,83,32600
ヘワ セカサネ,66,32600
ネミナ スセイ,82,32600
ヌユ オオケミ,69,32600
トネ スイエ,33,32600
スヒト チサ,42,32600
イモエ ハサツユ,21,32595
キウソキ ウオヲ,38,32571
カネセモ ナユミ,67,32561
カヒヌヲ ユオマヤ,46,32533
フエマメ タサニワ,64,32517
ユテワシ チワチ,36,32500
ミミタハ ムノ,87,32500
ミナ ヨノエセ,60,32500
ヘオコニ ノハ,59,32500
フヲセメ ケフサユ,43,32500
ノヲ ネワ,18,32500
ネキ ハフ,70,32500
ネオト ヌタ,80,32500
テヨ ムカス,15,32500
チヌチ メキオメ,23,32500
ケコ ユト,81,32500
クヲウ ウセ,91,32500
ウココエ オウタキ,79,32500
コエヒチ エフチセ,55,32490
テノコヒ ワユ,16,32453
セテ ンシ,25,32451
ヨテンソ イユオケ,32,32432
ヒイチホ クシ,79,32424
クケ ヒエタヨ,93,32414
ヲオンエ シトオサ,76,32400
ユヨホノ ツニ,47,32400
ムメワ チヒ,54,32400
ヘンオケ ナンカケ,93,32400
ニメモ ケセノヒ,68,32400
ナウヲ ハカオホ,34,32400
チヲヨ ネモヨ,85,32400
チノミス キウ,96,32400
コツミケ フコ,37,32400
ヲエフソ モヤ,35,32319
ヘヨヌ モヘエ,47,32309
ナナナ ユソスト,44,32305
メテマツ マトメウ,64,32300
ムヲネ ステニセ,88,32300
マカエ ヨオンキ,92,32300
ホケ ネヌ,43,32300
ホオワ チエエヲ,58,32300
ヘヌイ ホマ,59,32300
ノナ チコタ,20,32300
スシサハ チニコ,44,32300
シタツ ヲスメ,15,32300
ケミナマ テンヨタ,95,32300
キチヨ ケワユヒ,51,32300
オキ マシ,56,32300
エヒ ノトメミ,29,32300
オスミ ネアニア,56,32284
トナユ ヌハ,63,32245
オト アコネ,22,32223
ミア ウソセ,24,32218
ヨメキヘ クタ,82,32217
ヤハメ テチ,23,32200
ヤオ ケセノ,97,32200
メワスエ ムケ,20,32200
ホニタヨ トウワ,28,32200
ハフ ハア,94,32200
ニンエヨ サヲマア,86,32200
ツアテ モフム,47,32200
イヘヘ ミワソ,76,32200
ノナキニ ミユ,83,32156
ハコ ンテトタ,90,32129
ントヒオ サワ,66,32100
ワシ ヌヲタヘ,94,32100
ヤマン ソコ,65,32100
モヨ ニヘ,40,32100
モヒキハ ムイノソ,23,32100
ミフオ シセオカ,54,32100
マニ シヒヒユ,37,32100
ホシセ クニヒナ,20,32100
ヌハケ スミヘホ,53,32100
ナエノカ ツフク,17,32100
テサアム フカエ,96,32100
チサ ユケワ,31,32100
サミア モヌキツ,99,32100
サツナ フセ,23,32100
トキキ ヨエトカ,97,32067
ソミ イオヌホ,17,32064
ヘウ アヨワ,49,32053
ユヘセ カミヤ,49,32002
ンワ セナツ,65,32000
ワオキ イシユメ,95,32000
ムノンン タトフ,37,32000
ムネ サタ,79,32000
ミヨミワ ムイカ,87,32000
ヘヨチサ ンタヨ,81,32000
ナメセヲ チナケン,83,32000
チセヒテ イネ,17,32000
サア ウエ,44,32000
ケムトユ ミウ,91,32000
クネア ムエヨ,36,32000
キヤ ノスイケ,16,32000
オアム ナホツ,95,32000
ウニネサ コヌネ,58,32000
ネミ イケフム,78,31999
ミマホ メカキニ,94,31976
ウヲ チムヘ,22,31974
シチヘア サオネ,87,31961
ミヲテ ワヲシ,15,31954
コウユク クオ,36,31949
キヒ ミウヨ,60,31924
チイ イカノ,62,31918
ハオ タアヌウ,43,31914
ヌワテ ヌヘヨキ,23,31906
アヲフ チハ,50,31903
ハイモミ キエホ,89,31902
ヨテ エキ,64,31900
ユフシヌ モヒア,54,31900
テイソ ムホア,60,31900
ツスチ シソネフ,88,31900
カチ イウホ,52,31900
ノテネ サナ,30,31819
モン ツナモヨ,51,31818
ツソ クフクキ,39,31813
マコタマ ウツ,41,31800
ネソ エニカ,47,31800
ネコヤヒ ミシ,32,31800
ツネ ニニサカ,71,31800
シソ タサタ,57,31800
サヲンク ヒミヘ,64,31800
コテタ ミタマタ,94,31800
カヤスム ニモシ,48,31800
ヌハカ ノヒコ,37,31796
フイヲ ホアチソ,23,31792
エユツニ コクトヌ,52,31790
ノセ ケセワ,16,31758
イユハエ タユオコ,82,31749
ニミ ナヲチコ,61,31748
エヘケ ヲマケマ,28,31743
ニヌ ミハメテ,71,31736
ヘノ アム,67,31730
ヨメトウ メタクナ,66,31700
マソノム ヘヘヘワ,71,31700
ニハヌ シケタ,34,31700
ツニソフ シケケ,48,31700
イソ フノイニ,99,31700
アムテテ ヘナ,97,31700
テナメ ミテニフ,16,31687
モヨ モセホ,15,31684
シトヨフ ムシセ,46,31671
ノスト ソシメス,88,31670
ヨワウテ ハアフヲ,23,31665
イマナス ヌスヒヨ,94,31660
トモコメ セモケ,85,31644
クミヨチ ユニ,85,31627
メミセヘ ノネ,91,31617
テカ マンス,71,31614
スヌ ノマナヤ,79,31607
クニ コマヤ,54,31601
テユエヨ ヘエ,46,31600
テチ ヤヲメネ,44,31600
チケ ツホ,66,31600
セココノ トア,85,31600
サセテ ヨヤウ,33,31600
コニオ ハウ,30,31600
マユ ユス,70,31593
ワカモ テケヒ,19,31590
ヨユシ ニミホア,45,31585
サユ スヒ,22,31553
テヤ チセ,80,31543
メミ ハネ,23,31542
テスネホ ヒミ,27,31540
マウナヘ マスニ,66,31538
ワチト ツハ,89,31531
トマモケ ワサ,24,31531
サニモヘ ニエノ,98,31519
イマ テヒノ,99,31517
ユソ ネノヘ,56,31504
ホマス ナマハタ,72,31500
ヒホ セシヒク,78,31500
ヒナシア セコオニ,48,31500
ナスマイ ヘワ,82,31500
ツモニニ チコ,58,31500
コカネ メカユミ,72,31500
クオ ナス,56,31500
ウニ ンウメミ,21,31500
ヤモシ ハミユ,81,31495
ノノ ヘオ,74,31466
ヲムワイ ソヒ,84,31461
ユト ハト,64,31457
ウハハス エケ,75,31455
コネ ソテノコ,55,31450
オムマイ ヒタシ,87,31428
メハメノ ヘアモ,56,31400
メセ コノ,42,31400
ホユ モオノト,20,31400
ヘオコ オトタ,33,31400
ハヨ ヒン,84,31400
ヌヲソ ツヒソ,34,31400
ニキメ ヨフ,59,31400
ナソ セウ,38,31400
チミメ ヲカホ,47,31400
チサネ ホヤヒ,30,31400
ソホ クエ,53,31400
コヘウヒ フア,28,31400
ケアンク アケメク,76,31400
キトヲヤ ンア,44,31400
ウニヒコ ヌイエエ,70,31400
オオコイ メサネケ,18,31391
ヒイツ ワチヨヌ,19,31385
フムヒセ ヒカスヤ,96,31378
ツホ ネスタ,17,31356
スメサハ ハユナ,19,31352
テテ ヤセイ,95,31305
ンキワ スツトク,97,31300
ワマ ホサコネ,64,31300
ワオヤ ヨフ,77,31300
ムイ ヲイ,98,31300
ヌオヒカ ノンツ,66,31300
コイヘ サニ,76,31300
キカモ サカエ,65,31300
カメエチ オト,31,31295
ヘフハサ テニモ,61,31284
