名前,地区,年齢,合計金額,百円単位の四捨五入
ノオハア メセ,青森県,42,60600,60600.0
ノカキ スア,広島県,18,36000,36000.0
タシ フト,高知県,28,45400,45400.0
タミマヘ ソナ,栃木県,18,30800,30800.0
メケ サヨスメ,東京都,78,33885,33900.0
ホツ スヌワセ,千葉県,49,69600,69600.0
ンサシ コノ,兵庫県,86,88300,88300.0
マハヘサ ツナミ,長崎県,23,29400,29400.0
ハケヤ ノヲ,山口県,16,58630,58600.0
ワア ミエ,京都府,70,25144,25100.0
ニテツイ タフユ,広島県,24,41800,41800.0
カハヨ ンノマム,岡山県,42,29900,29900.0
イワハ ナセフ,新潟県,89,22433,22400.0
テフヒ ヤコスミ,千葉県,83,58700,58700.0
ユオ キモノ,岩手県,92,35500,35500.0
ツチヨウ ムニコノ,山口県,61,25800,25800.0
ツユ フチ,青森県,95,38700,38700.0
ヘネ クスワ,長野県,49,113200,113200.0
フンヘチ ノトエ,栃木県,22,68500,68500.0
トミケ ヌサハ,山口県,81,29043,29000.0
シヤヤ ヲケ,鹿児島県,27,43200,43200.0
ネニ ホセ,福井県,58,76200,76200.0
コカ ウヲクテ,愛媛県,17,28754,28800.0
ソヨキ ナサア,島根県,69,63700,63700.0
イニイ チマ,埼玉県,15,54000,54000.0
エキ ヨテ,広島県,64,31900,31900.0
カヘホム キヤ,福島県,22,49800,49800.0
マンシ ンヤヌエ,大阪府,57,73542,73500.0
ンセキタ トナ,佐賀県,62,178196,178200.0
オノナメ ノニ,佐賀県,25,77836,77800.0
ソスト セヲヲム,山梨県,74,64661,64700.0
メテマ メユヒハ,長野県,95,26650,26700.0
チン ノヲハ,北海道,77,23800,23800.0
ヤン ネカヤ,熊本県,53,89800,89800.0
ユネ テシケ,愛知県,79,41860,41900.0
トハセ ネシク,島根県,33,23700,23700.0
メヌ ヤハノ,岩手県,71,42000,42000.0
モエカ ムユヨ,千葉県,91,28851,28900.0
ノユヘ ンシウ,宮崎県,92,41600,41600.0
マモシサ ホムエコ,秋田県,21,58600,58600.0
ノシ ヘモ,宮崎県,74,53600,53600.0
サエ ケオケ,和歌山県,16,44730,44700.0
ヌカキワ ツユ,高知県,29,66600,66600.0
ミシヌ コナアニ,和歌山県,80,26535,26500.0
ンナ トセスク,滋賀県,71,40700,40700.0
オサトス ナトカム,鳥取県,79,28800,28800.0
ナタユコ ハキスチ,岡山県,47,69200,69200.0
セホネ ツコオモ,愛媛県,95,131134,131100.0
キネフヘ ホムヌホ,山形県,18,76707,76700.0
サホハウ ミト,三重県,85,40600,40600.0
マヒヘニ カヤ,滋賀県,29,34100,34100.0
ヲオ エセ,岡山県,36,47036,47000.0
ワス ニメケ,大阪府,41,28857,28900.0
ンマ ヲソタ,鳥取県,37,66800,66800.0
イソ ハネケ,佐賀県,64,83800,83800.0
ソカワイ ホノ,栃木県,58,30685,30700.0
セキナヘ ネナサ,福井県,31,21775,21800.0
カヨ モエ,大阪府,43,49700,49700.0
タマチク ヌノメ,埼玉県,72,60800,60800.0
ネサ クカシヌ,熊本県,57,51400,51400.0
ナヌイタ セテセメ,山形県,25,38000,38000.0
メミナ ウヤ,香川県,96,39800,39800.0
ヘタワ ニヨカチ,愛知県,20,44026,44000.0
ヤト クア,長崎県,40,22300,22300.0
モンヒミ テワ,茨城県,40,51100,51100.0
トフモ イシホ,新潟県,78,48500,48500.0
ワハタ ムチ,愛知県,96,51595,51600.0
ヌシク ハソ,山口県,64,21348,21300.0
ムエニス トクオコ,北海道,82,67400,67400.0
モヘエ ヘヨヌ,神奈川県,47,32309,32300.0
ワモテチ マアツ,三重県,74,24400,24400.0
マネ キマサユ,奈良県,85,46230,46200.0
トミサ ニノソ,北海道,89,38300,38300.0
ユン ントノエ,山形県,61,29100,29100.0
ノエウ トス,北海道,66,26983,27000.0
ナマ タウヒ,岡山県,92,46800,46800.0
ワワノカ ヒマ,山口県,44,30544,30500.0
ヨク セヨ,大分県,54,35300,35300.0
エヌユ アニカタ,富山県,97,58624,58600.0
ムン ヨオネヤ,長野県,62,30530,30500.0
ミヌア メエ,山口県,43,50170,50200.0
ヲタヒコ ヲトエ,福島県,63,38883,38900.0
ヲトミヘ ヨサ,石川県,33,33500,33500.0
ユイヲ ハスホシ,長崎県,24,63400,63400.0
ホエ アシキ,埼玉県,37,42823,42800.0
ヌタ メハモ,北海道,69,23700,23700.0
ワヌニソ スサ,富山県,40,26200,26200.0
チアモ ヌヘ,鹿児島県,38,29671,29700.0
チソ ハム,宮崎県,98,39486,39500.0
コマタ ミシヨ,愛媛県,64,22500,22500.0
ヨチ ケニス,香川県,69,60000,60000.0
エムキヒ クイ,福井県,25,52800,52800.0
モアネセ セスコ,鳥取県,25,49970,50000.0
ノウエ ヲワヨ,京都府,46,121700,121700.0
チシイソ ンイツ,長崎県,34,122600,122600.0
アフ マヲシ,群馬県,90,28300,28300.0
メム キシン,和歌山県,51,28700,28700.0
メン ヤエモ,福岡県,98,29100,29100.0
コホハ マシ,群馬県,49,23100,23100.0
エタアユ ウヨ,山梨県,41,65900,65900.0
メケ モヨ,大阪府,56,91000,91000.0
ニシヨ ヨチチ,高知県,95,47800,47800.0
ツフケ ホソスイ,沖縄県,76,27568,27600.0
カフ モンキチ,岐阜県,58,46802,46800.0
ヒサメ ネイタス,京都府,34,41900,41900.0
サキウ ヘテ,岡山県,71,38685,38700.0
ナヨソシ テヲオ,奈良県,40,86300,86300.0
シワ ヌソタモ,滋賀県,94,27419,27400.0
ノワモ タヨ,山形県,85,22000,22000.0
イユヌヨ タテ,広島県,72,61500,61500.0
カマオ テア,山形県,79,46800,46800.0
ヘオ ノノ,岐阜県,74,31466,31500.0
キナ モサトサ,山形県,22,20527,20500.0
カノニス ニツ,奈良県,86,49756,49800.0
エコイ キトハネ,新潟県,85,71436,71400.0
モユヨ コノホハ,鹿児島県,40,52329,52300.0
ンソホ ニネハソ,岐阜県,54,39303,39300.0
ソネツナ ニナ,山口県,51,37397,37400.0
クヲニ ホヌ,福岡県,41,60500,60500.0
ケニ ヨフヌ,愛媛県,50,31200,31200.0
ホヒ ヨオチ,大阪府,17,20592,20600.0
ヌケ ユソ,山形県,62,29100,29100.0
エヒニ キイ,新潟県,66,21070,21100.0
ソオシ カスツ,香川県,45,51506,51500.0
ウヌモ セメウハ,山口県,92,37100,37100.0
ソフヘカ ムミフ,福岡県,71,37300,37300.0
ホヌ ムノエメ,新潟県,73,35100,35100.0
オメシケ ネチヨノ,岩手県,71,37100,37100.0
コツハ ニヘク,宮城県,94,80500,80500.0
ヌネセ セエテ,栃木県,50,103400,103400.0
ミコミ ヘフオ,福岡県,37,34800,34800.0
ミサナホ ソオクウ,熊本県,74,38334,38300.0
イチ ヨヤヘウ,沖縄県,71,45013,45000.0
フン シセヌエ,北海道,94,28092,28100.0
ケア エケ,三重県,16,38528,38500.0
ヤタ ミヲノ,三重県,70,61056,61100.0
ヤカ オヲキミ,香川県,33,51900,51900.0
ソコメエ ツチ,兵庫県,92,77432,77400.0
イヌサヌ オオイホ,福井県,34,85000,85000.0
カヨ サヨ,三重県,31,92200,92200.0
モモ マヌ,滋賀県,28,38200,38200.0
ノヌ モミタク,宮城県,46,35900,35900.0
カコヲカ キキツ,宮崎県,51,28100,28100.0
セナツ ンワ,長崎県,65,32000,32000.0
ツオネサ コカ,岡山県,63,45300,45300.0
ヒハ イヲ,静岡県,79,52900,52900.0
セイウ ヲチカ,和歌山県,15,59000,59000.0
ナヌフ ウメミヨ,熊本県,42,34234,34200.0
ニソ サエノ,大阪府,52,21500,21500.0
シヲツヲ タム,福井県,50,21599,21600.0
ヒヒナヲ ウノンキ,沖縄県,25,28700,28700.0
ママタ ソアワ,熊本県,47,92900,92900.0
ヤノヒイ クキテヌ,茨城県,81,52349,52300.0
ウフヲノ タワナ,千葉県,38,85500,85500.0
メモセタ ウカエ,和歌山県,51,79000,79000.0
ハス ミエホヒ,山梨県,41,37600,37600.0
ナノネ ヨアワヒ,岡山県,79,49555,49600.0
アクチア オセ,熊本県,70,21665,21700.0
ヨホタモ タニキ,大阪府,45,37385,37400.0
ウノ ミヘ,高知県,57,45500,45500.0
ネワヨ ヌタ,山形県,16,49200,49200.0
ネタチ ホテニツ,東京都,96,53404,53400.0
ワタキ タケヨナ,福島県,69,26905,26900.0
ミヒメ ハノモ,青森県,61,26780,26800.0
ノセシ ナン,愛媛県,53,41900,41900.0
キアテマ ウセハ,山口県,95,27500,27500.0
コヨ ソヌ,島根県,70,80462,80500.0
メエ コナネ,佐賀県,31,50785,50800.0
オエ タモニヘ,群馬県,58,20700,20700.0
オウテ ホナ,福岡県,16,26200,26200.0
クモホ セホニム,和歌山県,99,25300,25300.0
ヒハハ ホケヲン,青森県,25,85061,85100.0
フヒ ユコ,愛知県,39,30000,30000.0
ニキトヤ ネナ,福島県,34,22600,22600.0
クフスヤ ソマネタ,島根県,52,63900,63900.0
フノホネ ウアント,和歌山県,53,40600,40600.0
メイネ ネユヤ,青森県,87,33900,33900.0
アカヒ シソ,大分県,41,67900,67900.0
クカワ チフコフ,栃木県,59,48300,48300.0
ミクユ ノスオ,広島県,34,28519,28500.0
サワ スム,岩手県,74,60600,60600.0
ソツワ シユシ,山口県,52,52600,52600.0
ハホフニ タオアタ,群馬県,21,36200,36200.0
イヨス コトメト,愛媛県,59,84800,84800.0
ヨツモ モイチ,香川県,16,31230,31200.0
ミム ウヒ,埼玉県,17,20500,20500.0
トア セココノ,大分県,85,31600,31600.0
ワセオ オムユ,高知県,74,68308,68300.0
カヒ サキ,徳島県,54,39399,39400.0
サニソオ ムソアケ,神奈川県,17,20900,20900.0
イス モヲウシ,宮崎県,63,106900,106900.0
フトソ ナサ,大分県,95,30800,30800.0
セチムケ ヒヌヌウ,鹿児島県,86,98700,98700.0
チイ ツスヨヲ,鳥取県,52,63302,63300.0
シヲ シヨスム,鳥取県,91,20900,20900.0
フワヌセ コカ,奈良県,60,56000,56000.0
ミマコ ワト,茨城県,55,25100,25100.0
ンケケ ケハコ,茨城県,85,44860,44900.0
ムクチム キノ,北海道,84,20900,20900.0
ワサ トマモケ,静岡県,24,31531,31500.0
ニチ コナワネ,大分県,31,71600,71600.0
シセ ネマ,佐賀県,15,35300,35300.0
フシ キノ,愛知県,87,39100,39100.0
モメ ノマ,山梨県,96,38200,38200.0
クヤユ ネイカス,長崎県,31,35500,35500.0
ユヌト ムヨ,福井県,83,25800,25800.0
タモコ ミウユク,高知県,30,50427,50400.0
ツナ トキエ,山形県,53,62857,62900.0
ンワ ワメケ,愛媛県,46,28500,28500.0
ユワ ヌクウク,鳥取県,66,30577,30600.0
ソクカヲ チクカ,宮崎県,61,31042,31000.0
セワム ツマ,岩手県,88,32800,32800.0
ヤヒツ ナネケ,和歌山県,68,48800,48800.0
ケネヘソ ヒチナ,島根県,94,33900,33900.0
モナ ククヒ,茨城県,99,63700,63700.0
ケムイオ ヌタメム,福井県,86,59100,59100.0
トトツ イミニ,千葉県,15,76400,76400.0
メフマ ヌタミク,香川県,29,58100,58100.0
ハシ センエシ,栃木県,40,67800,67800.0
ヲイミワ ヤネチナ,広島県,19,25600,25600.0
ヌヘナモ シヲヒス,岡山県,56,63600,63600.0
マスアヲ アノ,茨城県,38,39023,39000.0
イホウフ セネ,岩手県,35,52700,52700.0
シヌ ツヤシン,岩手県,77,49800,49800.0
ノネ ウツ,岐阜県,68,49700,49700.0
ンコケキ テハホ,東京都,48,70400,70400.0
コホミマ ソヌ,奈良県,97,58900,58900.0
キワ ナノ,栃木県,83,34500,34500.0
テアオ ネフ,長崎県,64,23200,23200.0
カオ ナキニニ,長野県,53,34000,34000.0
ノメ テカイ,三重県,72,37681,37700.0
ヘエ ヒソス,静岡県,57,46976,47000.0
イモニノ オン,福井県,24,68100,68100.0
ノヒオサ ニトトツ,高知県,53,46400,46400.0
ニテ テホツ,長野県,20,36400,36400.0
ネスタ ツホ,東京都,17,31356,31400.0
クテエ ヌト,沖縄県,37,42500,42500.0
シネ ヘトマミ,石川県,54,50100,50100.0
ハヤンケ カヨ,石川県,31,68000,68000.0
シヲワウ ソヤオ,熊本県,96,59400,59400.0
ツヌケ シシ,徳島県,35,36495,36500.0
ンマ ソナヤ,滋賀県,37,77738,77700.0
ヨアツエ ヲソタス,鹿児島県,48,24200,24200.0
ヨコツム シコオ,島根県,49,43200,43200.0
オエ エサ,東京都,51,36162,36200.0
イヤニ メホクネ,山梨県,20,61000,61000.0
ウツオ ツチヲテ,石川県,45,58876,58900.0
シホユケ コア,長崎県,38,58600,58600.0
ヒネフ オヘトス,愛知県,32,65400,65400.0
ヘエヤ サワヒシ,大分県,88,103500,103500.0
ヘキモ オウハミ,奈良県,43,49268,49300.0
ミセムチ ワイス,群馬県,18,68400,68400.0
アケハシ メセニ,岡山県,17,61800,61800.0
チメトセ ヌト,新潟県,58,53600,53600.0
ヲユヨナ マタム,群馬県,97,80800,80800.0
イハユ ケナ,宮城県,34,71854,71900.0
テメフナ ミムコ,三重県,64,40042,40000.0
ネクミ ハケオ,宮崎県,96,26500,26500.0
テケ エンチイ,福島県,36,45700,45700.0
ケヒヲタ ネヨ,新潟県,24,40900,40900.0
ヌテマウ ヲマ,茨城県,80,25927,25900.0
スワノシ キヨト,石川県,47,46900,46900.0
ヌフヲイ チツスモ,山梨県,15,59300,59300.0
ネウム シソ,和歌山県,18,28600,28600.0
ツクヘ テヌキ,秋田県,99,68000,68000.0
カワノン ユニマム,岩手県,97,91300,91300.0
イヨ ヌネネ,愛知県,89,35610,35600.0
ツフヌカ チカス,熊本県,17,76100,76100.0
ヤホナ ヘトヌチ,沖縄県,49,64600,64600.0
ナコンナ カスコ,石川県,25,98203,98200.0
ワソト マメ,鳥取県,40,95112,95100.0
クナ エヨキ,沖縄県,35,62500,62500.0
ススヘワ ホキス,徳島県,82,80300,80300.0
ヘオエカ アチ,高知県,65,39200,39200.0
ニア テツヨセ,青森県,94,76900,76900.0
クオエ ンワヲ,山梨県,32,37500,37500.0
テサ ヒメセ,富山県,71,71607,71600.0
シフ ヲカ,茨城県,75,37100,37100.0
フユ ウケ,山口県,80,46562,46600.0
ハスキコ ハアウト,北海道,90,35700,35700.0
スア チナ,徳島県,26,29500,29500.0
エタイ ンヒヨ,栃木県,74,30500,30500.0
ケモネス ナウ,佐賀県,30,30783,30800.0
クハムホ シキマニ,山梨県,79,21600,21600.0
ニキ サノンオ,千葉県,29,37900,37900.0
ハヲト サワツウ,長崎県,50,41483,41500.0
ヤメソ ストタ,宮崎県,91,43100,43100.0
ヤス ワクン,兵庫県,74,76428,76400.0
テノサ イツム,奈良県,83,35551,35600.0
オメワ モチ,青森県,58,61900,61900.0
ホタヌ アワ,青森県,90,25900,25900.0
クコエヨ セネヒ,長崎県,64,72600,72600.0
ケオニキ ハヤ,青森県,41,56890,56900.0
コツ アサコ,宮城県,83,46200,46200.0
ヌソ ケテ,和歌山県,86,20500,20500.0
ソツエサ オサウノ,富山県,57,76300,76300.0
ヤカ ユホセム,奈良県,99,63856,63900.0
ヲヨオ ヘムヨ,茨城県,85,40807,40800.0
ヒムウ ムンワ,神奈川県,21,49714,49700.0
オナ テユマ,香川県,99,90200,90200.0
シミ シタヤキ,福井県,22,46400,46400.0
シタマ ナイミ,千葉県,97,61689,61700.0
エアモ ヘオンニ,島根県,85,39700,39700.0
チノ ムシユト,島根県,44,28600,28600.0
コメ サス,秋田県,81,21600,21600.0
テチス スオテフ,青森県,95,33600,33600.0
ヌワ ユチ,長野県,79,23800,23800.0
フミヒ ヲチン,茨城県,89,57412,57400.0
ムタチキ エメ,山口県,72,22400,22400.0
ホヌセ ヨコ,宮崎県,48,20400,20400.0
ツヌ セナヲ,愛知県,20,20317,20300.0
ヲヒカウ マモソ,静岡県,67,26700,26700.0
トフスヌ ユハ,秋田県,29,36600,36600.0
アイカ スナ,石川県,51,35600,35600.0
メキユ ヒムシ,京都府,22,121100,121100.0
エキウ チセニ,石川県,21,36436,36400.0
フヲ トマカア,山形県,49,27634,27600.0
ユホヤ サニヨ,岩手県,81,58884,58900.0
アナ シフニ,北海道,64,48000,48000.0
ナアム ユサ,香川県,55,54000,54000.0
ウヌ ヒヨワノ,福井県,56,40483,40500.0
クサミ セワ,岩手県,56,54502,54500.0
タナナ オモタ,埼玉県,35,68500,68500.0
ヒサヲコ ナスオヌ,大阪府,30,55614,55600.0
ウヤ ヘサマ,高知県,77,36681,36700.0
シエヒ モイナヲ,山梨県,38,44800,44800.0
テアマキ クカ,島根県,82,49264,49300.0
メイワテ コカ,福井県,30,53700,53700.0
マキヲチ モチヲシ,滋賀県,66,29303,29300.0
ヒヘタホ サトハヲ,秋田県,90,48642,48600.0
セテ ヲコイ,山形県,87,43300,43300.0
モンウモ トフハ,愛媛県,86,63000,63000.0
セア ヒツマユ,富山県,25,58832,58800.0
ヨテ ヤアヲ,静岡県,70,92275,92300.0
ネヌ ンスタム,熊本県,63,63800,63800.0
ナア ニヲヌ,茨城県,17,34100,34100.0
ンネ ヤミ,群馬県,60,45476,45500.0
タヘソン ヘニヒソ,広島県,79,104000,104000.0
ユイ ナマ,岩手県,23,61900,61900.0
ヨツエ ノメ,岐阜県,38,74400,74400.0
モメテウ ヤヤツ,神奈川県,82,68200,68200.0
カクエ コオエ,岐阜県,92,29957,30000.0
モウ ノヌヘ,長崎県,86,68700,68700.0
モツ ネタナ,宮城県,80,78900,78900.0
ナサ ウク,福島県,32,33500,33500.0
ワホ カス,島根県,76,71700,71700.0
セヤイス ユムクツ,東京都,35,41100,41100.0
ンク テエ,山形県,55,37500,37500.0
サエ クヤ,茨城県,79,38672,38700.0
ンナン シヒヲ,鳥取県,94,66843,66800.0
シニキマ ケユセ,沖縄県,57,22200,22200.0
スホヨ メノ,石川県,35,37718,37700.0
カム ヲクフソ,千葉県,81,59900,59900.0
セヲヨワ ソセケ,三重県,16,45900,45900.0
スミ ユタ,鹿児島県,60,24400,24400.0
モニ カツ,北海道,53,63400,63400.0
シノヤニ メネユ,香川県,45,20900,20900.0
クユツ ネカ,千葉県,95,44290,44300.0
テマ ワイ,千葉県,90,65800,65800.0
ヒム ネチハ,岡山県,95,37700,37700.0
ヒナセモ エミ,福井県,55,63147,63100.0
ケネ カフヒヲ,宮崎県,73,26523,26500.0
オト トノスヌ,岩手県,15,49900,49900.0
フナムニ キワヤ,山口県,87,69300,69300.0
ミヘ ケヤ,兵庫県,54,70400,70400.0
ヲワス フソ,沖縄県,89,21100,21100.0
モサヘ コヲミ,広島県,87,41705,41700.0
トスス カソ,山梨県,37,47800,47800.0
ヘモワ ヤヘナミ,宮城県,17,58100,58100.0
チムシ ソキモ,群馬県,98,33716,33700.0
ノエ カカヒ,大阪府,76,59654,59700.0
オナム ワホテ,山梨県,50,52219,52200.0
ナメヤ ニコサイ,鳥取県,17,26965,27000.0
ヲツネニ クユ,高知県,66,32762,32800.0
ムス ササコ,青森県,79,74028,74000.0
モケ ヒヌ,神奈川県,36,23900,23900.0
モメケ ヤチ,岩手県,18,33055,33100.0
ムイカ ミヨミワ,香川県,87,32000,32000.0
シホサ ムソウキ,沖縄県,53,103400,103400.0
ヌイタシ モメセ,熊本県,41,64384,64400.0
ニン イニ,島根県,76,42900,42900.0
オンホホ マイチツ,山梨県,39,45319,45300.0
カウ ヘト,沖縄県,32,63500,63500.0
タシ ンワホイ,埼玉県,33,37897,37900.0
ヤコイ ワメ,奈良県,23,20751,20800.0
ツヘ ユス,長崎県,36,50900,50900.0
ナフマ ナホミヨ,長崎県,97,43300,43300.0
チモ ヲタケニ,山形県,77,21100,21100.0
ツホチ ケヒソ,福井県,55,65800,65800.0
ナマコ ヌタタ,島根県,63,58100,58100.0
ヌミコナ ヘク,青森県,86,49266,49300.0
ニヘ サテ,三重県,82,93300,93300.0
ムエセヌ セヨ,佐賀県,30,73900,73900.0
フナ ナメマコ,岐阜県,45,25700,25700.0
ヤヌマ セホ,島根県,84,55970,56000.0
ワソキテ ヲソツ,秋田県,38,32700,32700.0
メフソン ケク,香川県,16,23200,23200.0
ヒノフイ ントヨセ,鹿児島県,40,99600,99600.0
ヲセキケ ワフソキ,広島県,92,21167,21200.0
テメ スメモ,沖縄県,28,21675,21700.0
ヌセコ ニニテ,岩手県,74,80500,80500.0
ソツウ オイメ,鳥取県,57,38244,38200.0
ウツ カスセ,山口県,22,35800,35800.0
オホム ケネト,神奈川県,85,77600,77600.0
タセヘ ヌテソン,大阪府,34,48900,48900.0
ツエヘ イネ,東京都,16,44300,44300.0
キイニ ハチ,岐阜県,68,28700,28700.0
モウ キシシヨ,福井県,38,38300,38300.0
ネテテ アニハ,福岡県,94,27500,27500.0
オサ ヘオナ,福岡県,38,43153,43200.0
ホコニ ネメ,新潟県,21,45403,45400.0
ツコトチ ウトヲ,長崎県,43,42089,42100.0
アヒ ヲタ,岡山県,86,55400,55400.0
エニヌ クユエ,岩手県,64,55300,55300.0
カスエハ フン,愛媛県,95,55600,55600.0
メツヒケ スムサテ,愛知県,43,23000,23000.0
ヘエ テユエヨ,山口県,46,31600,31600.0
イヌ ヌトヘ,奈良県,25,48600,48600.0
キユ チセムワ,香川県,39,45900,45900.0
チカヌコ ニモカナ,山梨県,77,35436,35400.0
ホハヌカ ヤマヌソ,福岡県,77,53100,53100.0
ンオサ ヒヤイ,島根県,90,58500,58500.0
トヘマ ヤソ,島根県,77,28668,28700.0
モメワセ マケホホ,宮崎県,83,55000,55000.0
ウイ スカモメ,沖縄県,79,31200,31200.0
ヘミモ ワタ,島根県,40,38114,38100.0
テヌユ テネフヨ,石川県,86,22500,22500.0
ナユケサ スク,福島県,30,22664,22700.0
タクツ ホムサ,東京都,88,27881,27900.0
ホカム キソワタ,和歌山県,27,36700,36700.0
サケクネ ヲホイ,滋賀県,27,40400,40400.0
クチワ スホアホ,福岡県,62,37400,37400.0
ユヲヲ テイ,兵庫県,66,51100,51100.0
ハツモ カニワム,福岡県,75,57299,57300.0
ツフク ナエノカ,熊本県,17,32100,32100.0
ヌヌンツ テト,山梨県,69,44616,44600.0
クム テコワ,宮崎県,69,45100,45100.0
ワフヨ コム,富山県,64,60800,60800.0
ヲマケ セキテキ,山形県,76,43400,43400.0
サクヤ ヨメヌス,岩手県,57,74100,74100.0
モアヌイ ヘヲセ,広島県,46,62800,62800.0
キサワキ ウヤミサ,宮崎県,18,33700,33700.0
サソ カウ,北海道,64,69888,69900.0
ンタ マムニ,神奈川県,79,25068,25100.0
コタ カカ,北海道,21,122900,122900.0
アオキ ワア,福島県,28,27951,28000.0
ヌフオ ミヒワ,広島県,95,36587,36600.0
ムチミ トハヒニ,石川県,55,46700,46700.0
ツユ エフ,岩手県,49,86956,87000.0
ナモホヲ ヘネ,佐賀県,55,42544,42500.0
ウン メム,山形県,73,84800,84800.0
ユト クミワ,香川県,25,41300,41300.0
ツニニヤ カナク,徳島県,15,46478,46500.0
イヒハヌ マシワ,岐阜県,61,43210,43200.0
ミセ モオ,富山県,31,27140,27100.0
トテ ンテケ,愛知県,98,30000,30000.0
ツネテワ スアムヤ,静岡県,63,56400,56400.0
ネソ スシ,熊本県,61,42591,42600.0
ヌカニ ヲムホセ,新潟県,97,74700,74700.0
ホヤタテ ヒサカ,岐阜県,26,25161,25200.0
テケ ツノメセ,秋田県,58,28800,28800.0
ナネス ヘンヘ,埼玉県,79,52669,52700.0
モコ イムケ,和歌山県,98,23915,23900.0
アヤノア エス,北海道,25,40100,40100.0
シヲヲセ ヤノエ,群馬県,53,48970,49000.0
タネ ホキ,東京都,65,39683,39700.0
ネネ ワク,石川県,20,42300,42300.0
ツフエソ オコエニ,岩手県,65,77800,77800.0
クチヌネ ユワ,長崎県,48,75100,75100.0
ナア チサヒ,滋賀県,98,25300,25300.0
コネン ハネシホ,岐阜県,43,20900,20900.0
フシ オエヤ,神奈川県,67,31082,31100.0
ケユ アナオン,宮城県,73,86600,86600.0
マミサモ タキイ,三重県,85,65200,65200.0
ノケト ウナイ,山梨県,42,23500,23500.0
ウヌナ アサ,岐阜県,17,61300,61300.0
サノト フヌ,京都府,45,27400,27400.0
ニテソケ ソヤ,三重県,44,34056,34100.0
キエセ ネヲ,岐阜県,54,35600,35600.0
ホハワエ トセ,石川県,88,53563,53600.0
ノヨ ノノネ,奈良県,37,41813,41800.0
ヤヲウ ナツテヤ,長野県,87,75774,75800.0
トスナケ ムホミキ,滋賀県,42,51400,51400.0
フハツソ ユムイ,青森県,37,47300,47300.0
ワネニヌ ヒエマ,山形県,72,33013,33000.0
ソム ユモ,鳥取県,92,69600,69600.0
クハ テチソノ,鹿児島県,34,61800,61800.0
サタ ムネ,沖縄県,79,32000,32000.0
タチ ワト,奈良県,36,59800,59800.0
チイマシ タコテ,福岡県,74,55400,55400.0
ユニホ ムヘスシ,佐賀県,45,44000,44000.0
ソン ヌケヘ,東京都,29,63231,63200.0
ミヲナケ ヤシク,宮崎県,97,29100,29100.0
エマノム シツムイ,茨城県,90,26400,26400.0
メホ サソニノ,宮城県,86,60700,60700.0
ヒミ テスネホ,神奈川県,27,31540,31500.0
エヌ スカ,青森県,59,24200,24200.0
タフネ ミヨ,栃木県,45,66536,66500.0
ヒマ ヌモミ,京都府,23,45574,45600.0
コウカ キナア,東京都,97,50065,50100.0
ツツナモ ニカユ,岡山県,23,114300,114300.0
ユイチチ ナマ,滋賀県,37,25800,25800.0
コキイト ワナシン,三重県,76,21100,21100.0
オマヤ クモフ,滋賀県,67,23300,23300.0
ケナ ネムエナ,高知県,65,24457,24500.0
ミネノワ ワキカア,兵庫県,23,77947,77900.0
ケネム ウクハノ,徳島県,77,30161,30200.0
セヨチノ モメムテ,長崎県,67,62500,62500.0
ハク アコ,岐阜県,26,66624,66600.0
ケヤスモ シナイハ,宮城県,30,97100,97100.0
ヲムシ ケツシト,佐賀県,36,38200,38200.0
セヨンチ マナモテ,千葉県,89,30500,30500.0
キオンク ンワト,千葉県,86,45748,45700.0
モオ ミマハ,宮崎県,33,74600,74600.0
メハイ イシソス,鳥取県,95,61079,61100.0
エツムマ ナハ,富山県,65,21800,21800.0
フカエ テサアム,岩手県,96,32100,32100.0
チモケ ニキ,富山県,49,92934,92900.0
セテニ オンチミ,徳島県,66,69100,69100.0
ツニ ユヨホノ,大分県,47,32400,32400.0
ソチ マユ,栃木県,90,112700,112700.0
カヘヒハ チタ,福島県,16,42700,42700.0
ワハノノ トム,愛媛県,45,37800,37800.0
マト ヘユサ,熊本県,46,39290,39300.0
アウエミ ヌアマセ,石川県,87,46500,46500.0
ヲテン サケサヘ,栃木県,33,81450,81500.0
コネオ コヌテ,広島県,70,75198,75200.0
ケヘカ ユヨワン,栃木県,27,33700,33700.0
ヤニヒ ニヘ,三重県,67,44407,44400.0
アハナツ サスア,静岡県,43,47036,47000.0
アテ ヲトユノ,岐阜県,89,37168,37200.0
ツツテ ツメ,岡山県,19,44200,44200.0
ニハヲ ミコ,青森県,45,107606,107600.0
ヘハネツ ユンメ,佐賀県,42,29100,29100.0
ナエ ヨミ,鹿児島県,88,107400,107400.0
イシテス セオ,岡山県,79,37200,37200.0
ヌホ オメオフ,佐賀県,32,27600,27600.0
スセイ ネミナ,鹿児島県,82,32600,32600.0
ヒエミ ニノ,京都府,93,29300,29300.0
ミヒ ヲモマス,山口県,72,65700,65700.0
セツニ ミホウ,京都府,85,45000,45000.0
タヤナヨ セソオ,秋田県,17,44489,44500.0
チフメヨ ミンオ,福岡県,71,33200,33200.0
ヲヤヒク トフハ,京都府,78,37000,37000.0
ケエ コケエノ,福井県,53,45500,45500.0
タサタ ヌウ,栃木県,51,45400,45400.0
セネチ マテチキ,石川県,20,35700,35700.0
ヌセニ エマノ,富山県,62,24386,24400.0
メナ ホサヒ,北海道,78,48800,48800.0
ニケネ マトシ,三重県,20,37758,37800.0
